metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
47,2+kk,G,Ve velmi dobrém stavu,praha 4,6148000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-ceneticka/1631781452
125,4+kk,G,Po rekonstrukci,stredni-cechy,7999000,https://www.sreality.cz/detail/prodej/byt/4+kk/unhost-unhost-karlovarska/105644620
70,3+kk,C,V dobrém stavu,praha 10,8700000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hostivar-chudenicka/2614559308
70,2+kk,D,Ve velmi dobrém stavu,praha 10,9490000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-ruska/431030860
53,2+kk,D,Ve velmi dobrém stavu,praha 10,8500000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-slovinska/1344893516
93,3+kk,D,Ve velmi dobrém stavu,praha 2,15500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-fugnerovo-namesti/3802739276
37,1+kk,B,Novostavba,praha 7,7150000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-holesovice-argentinska/516489804
76,3+kk,C,Ve velmi dobrém stavu,stredni-cechy,8490000,https://www.sreality.cz/detail/prodej/byt/3+kk/hostivice-hostivice-toskanska/3093172812
69,2+kk,D,Ve velmi dobrém stavu,praha 1,8960000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-lannova/3255833164
77,3+kk,E,Ve velmi dobrém stavu,praha 9,9900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-prosek-letnanska/590348876
108,4+kk,B,Novostavba,praha 4,17830000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kamyk-kramperova/3789558348
57,2+kk,C,Ve velmi dobrém stavu,stredni-cechy,6790000,https://www.sreality.cz/detail/prodej/byt/2+kk/hostivice-hostivice-toskanska/2589856332
53,1+kk,B,Novostavba,stredni-cechy,7900000,https://www.sreality.cz/detail/prodej/byt/1+kk/jesenice-jesenice-rackova/2183754316
49,2+kk,B,Novostavba,stredni-cechy,6290000,https://www.sreality.cz/detail/prodej/byt/2+kk/hostivice-hostivice-jecna/3525931596
98,3+kk,B,Novostavba,praha 9,15900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-letnany-kadeckove/88400460
58,2+kk,B,Novostavba,praha 5,12500000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-jinonice-walterovo-namesti/3594089036
116,5+kk,B,Novostavba,stredni-cechy,10490000,https://www.sreality.cz/detail/prodej/byt/5+kk/stehelceves-stehelceves-hlavni/4045378124
129,4+kk,B,Novostavba,stredni-cechy,18500000,https://www.sreality.cz/detail/prodej/byt/4+kk/jesenice-jesenice-rackova/1026126412
102,3+kk,G,Ve velmi dobrém stavu,praha 5,9799990,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-mahenova/4048413260
92,3+kk,G,Ve velmi dobrém stavu,praha 3,13990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-rehorova/3188195916
53,2+kk,C,Ve velmi dobrém stavu,praha 5,8950000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-na-cisarce/2452099660
132,3+kk,G,Ve velmi dobrém stavu,praha 5,14900000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-pod-smukyrkou/219488844
53,2+kk,G,Po rekonstrukci,stredni-cechy,3220000,https://www.sreality.cz/detail/prodej/byt/2+kk/zruc-nad-sazavou-zruc-nad-sazavou-na-vysluni/1725432396
